05D4ff	0.402	22.615	0.932	0.028	0.192
06D3ed	0.404	22.615	0.963	-0.036	0.182
05D4dt	0.407	22.808	0.891	-0.023	0.186
06D4cq	0.411	22.562	1.04	-0.005	0.184
04D2fp	0.415	22.559	1.034	-0.012	0.197
05D2dw	0.417	22.488	1.125	0.021	0.198
05D3cf	0.419	22.965	0.97	0.045	0.203
04D4gg	0.424	22.753	1.131	0.124	0.207
05D2cb	0.427	23.407	1.1	0.193	0.206
04D1rh	0.435	22.582	1.085	-0.015	0.203
06D4co	0.437	22.521	0.96	-0.027	0.183
06D2gb	0.442	23.008	0.829	0.03	0.23
06D3df	0.442	22.685	1.122	0.021	0.195
03D3aw	0.449	22.654	1.066	-0.053	0.241
04D2gb	0.45	22.916	0.831	0.042	0.21
04D3gt	0.451	23.259	0.976	0.223	0.192
03D3cd	0.461	22.593	1.208	0.012	0.293
05D3lc	0.461	22.982	0.913	-0.021	0.187
03D4au	0.468	23.817	1.048	0.158	0.239
05D3mx	0.47	23.043	0.832	-0.057	0.202
04D4jr	0.47	22.642	1.16	-0.026	0.195
04D3df	0.47	23.521	0.787	0.108	0.199
04D4ju	0.472	23.771	1.045	0.184	0.214
05D2bv	0.474	22.719	0.989	-0.096	0.197
05D2ac	0.479	22.677	1.133	-0.012	0.191
05D3dd	0.48	22.941	0.985	-0.015	0.203
05D1ix	0.49	22.879	1.054	-0.034	0.198
03D1ax	0.496	22.992	0.925	-0.062	0.196
05D4af	0.499	23.108	1.01	-0.013	0.222
06D2bk	0.499	23.273	1.054	0.036	0.234
03D1au	0.504	23.012	1.137	0.017	0.203
05D4av	0.509	23.558	1.095	0.185	0.204
05D2dy	0.51	22.913	1.099	-0.1	0.211
04D2mj	0.513	23.783	1.154	0.171	0.216
04D1pg	0.515	23.57	1.092	0.119	0.218
05D3ci	0.515	23.564	1.166	0.16	0.278
04D4in	0.516	22.902	1.169	-0.034	0.201
06D3el	0.519	22.913	1.08	-0.082	0.196
04D2gc	0.522	23.327	1.133	0.037	0.219
06D2ca	0.531	23.301	1.099	0.06	0.249
06D2cc	0.532	23.468	0.944	0.089	0.256
05D2eb	0.534	23.006	1.113	-0.036	0.233
05D4ek	0.536	23.303	1.059	0.081	0.21
05D4be	0.537	22.916	1.1	-0.114	0.199
04D4bq	0.55	23.347	1.095	0.134	0.23
04D3hn	0.552	23.503	0.935	0.096	0.21
06D2ck	0.552	23.447	1.05	-0.002	0.249
06D4bo	0.552	23.231	1.098	-0.028	0.227
05D1ee	0.559	23.556	0.953	0.023	0.222
04D1hx	0.56	23.715	1.042	0.143	0.215
05D1kl	0.56	24.154	1.075	0.164	0.246
05D1cc	0.563	23.496	0.981	-0.005	0.211
05D1dn	0.566	23.317	1.129	0.018	0.222
03D4gl	0.571	23.314	1.238	0.039	0.831
05D2dt	0.574	23.656	1.024	0.045	0.249
06D3et	0.576	23.512	0.861	-0.039	0.213
05D3jq	0.579	23.322	1.161	0.035	0.209
05D3gp	0.58	23.521	0.946	-0.054	0.286
03D4gf	0.58	23.336	1.095	0.01	0.236
05D1dx	0.58	23.304	1.078	-0.027	0.205
03D1aw	0.582	23.584	1.098	0.001	0.235
04D1jg	0.584	23.272	1.028	-0.079	0.219
04D1kj	0.585	23.345	1.034	-0.052	0.211
05D4ej	0.585	23.746	1.034	0.02	0.222
04D1sa	0.585	23.559	0.94	-0.064	0.237
05D1hm	0.587	24.102	1.126	0.155	0.244
05D4bf	0.589	23.627	1.029	0.018	0.235
04D2mh	0.59	23.403	1.163	0.041	0.215
04D1oh	0.59	23.388	1.01	-0.048	0.227
03D4gg	0.592	23.413	1.098	0.046	0.264
05D3lr	0.6	23.854	1.02	0.096	0.251
05D4ef	0.605	23.832	0.839	-0.054	0.225
05D2he	0.608	23.953	1.044	0.073	0.244
03D4dy	0.61	23.268	1.127	-0.06	0.231
04D3do	0.61	23.577	0.906	-0.097	0.213
03D1dt	0.612	23.3	1.048	-0.054	0.273
04D4an	0.613	24.046	0.987	0.025	0.27
05D1ck	0.617	24.074	1.007	0.111	0.231
04D2an	0.62	23.597	0.991	-0.019	0.295
04D3co	0.62	23.757	0.936	0.019	0.245
03D4dh	0.627	23.39	1.13	-0.045	0.225
04D4fx	0.629	23.501	1.115	0.01	0.23
05D2ci	0.63	23.612	0.901	0.045	0.263
05D1cb	0.632	23.715	0.967	-0.001	0.222
03D4at	0.634	23.733	1.019	-0.008	0.261
04D1pu	0.639	24.024	0.843	0.094	0.291
05D2ec	0.64	23.672	0.994	-0.063	0.248
05D4ag	0.64	23.895	1.055	0.068	0.287
05D3ax	0.643	23.62	1.071	-0.034	0.28
04D3cy	0.643	23.8	0.978	-0.011	0.257
05D3lb	0.647	23.896	1.04	0.035	0.224
05D3kt	0.648	23.965	0.979	0.085	0.23
04D1sk	0.663	24.058	1.028	0.1	0.251
05D3hs	0.664	23.501	1.045	-0.141	0.234
05D3mh	0.67	24.106	1.084	0.053	0.272
03D1co	0.679	24.088	1.084	-0.019	0.266
05D2bt	0.68	23.521	1.067	-0.113	0.239
06D3cc	0.683	24.067	1.082	0.006	0.312
04D4ic	0.687	24.121	0.9	-0.01	0.276
06D3em	0.69	24.377	1.006	0.149	0.259
05D1ke	0.69	23.611	1.035	-0.077	0.23
03D4cz	0.695	24.045	0.818	-0.071	0.292
05D2ck	0.698	24.474	0.733	-0.015	0.277
04D4ib	0.699	23.595	1.101	-0.093	0.233
04D2iu	0.7	24.246	0.806	0.021	0.288
06D4ba	0.7	23.761	1.065	-0.081	0.28
05D2le	0.7	23.961	1.054	-0.012	0.247
05D4cq	0.701	23.73	1.077	-0.058	0.24
05D4bj	0.701	24.103	1.012	0.059	0.249
04D1si	0.702	23.867	0.994	-0.003	0.244
04D4hu	0.703	23.92	1.005	-0.078	0.241
05D3gv	0.715	24.001	0.911	-0.043	0.254
05D3jh	0.718	23.753	0.927	-0.096	0.23
06D3gh	0.72	23.926	1.034	-0.021	0.27
04D1aj	0.721	23.904	1.03	-0.004	0.266
05D4ev	0.722	24.259	0.896	-0.014	0.259
06D3do	0.725	23.898	1.096	-0.044	0.281
06D3bz	0.727	23.959	0.923	-0.057	0.268
04D2gp	0.732	24.219	0.849	-0.091	0.29
06D4bw	0.732	23.904	1.066	0.005	0.25
05D2fq	0.733	23.997	1.084	-0.033	0.249
05D2ct	0.734	24.385	1.042	0.093	0.293
04D1pp	0.735	23.998	0.865	-0.064	0.236
05D3jk	0.736	23.717	1.082	-0.079	0.227
05D1eo	0.737	24.316	0.854	-0.038	0.255
04D2ja	0.74	24.129	1.04	-0.131	0.281
04D3fq	0.742	24.116	0.956	-0.03	0.264
04D2kr	0.744	23.865	1.057	-0.02	0.247
05D3jb	0.745	23.939	1.102	-0.025	0.235
04D3ks	0.75	23.855	1.075	-0.03	0.257
04D4im	0.751	23.852	1.148	0.043	0.245
04D3oe	0.756	24.06	0.908	-0.161	0.258
05D2nt	0.757	24.099	1.156	-0.006	0.247
05D3mn	0.76	24.043	0.987	-0.021	0.244
06D3gx	0.76	23.885	1.043	-0.089	0.296
05D4cn	0.763	24.102	1.111	0.015	0.243
05D1if	0.763	24.059	1.019	-0.035	0.243
05D3hh	0.766	24.319	1.07	0.018	0.279
04D1qd	0.767	24.228	1.007	0.012	0.245
04D1de	0.768	24.144	1.101	-0.079	0.241
04D4id	0.769	24.212	1.074	-0.1	0.276
04D1pc	0.77	24.553	0.97	0.067	0.256
05D4bi	0.775	24.051	1.098	-0.094	0.268
04D1jd	0.778	24.425	1.01	0.051	0.258
05D4cs	0.79	23.967	1.135	-0.061	0.236
03D4fd	0.791	24.232	1.072	-0.024	0.288
04D1ks	0.798	24.145	1.079	0.076	0.251
05D3dh	0.8	24.203	1.009	0.078	0.26
03D1fq	0.8	24.512	0.87	-0.045	0.272
05D3cx	0.805	23.913	1.051	-0.11	0.266
05D3ha	0.805	24.388	0.972	0.09	0.287
05D4gw	0.808	24.481	1.025	0.047	0.288
05D4dy	0.81	24.617	0.956	-0.083	0.275
04D3ny	0.81	24.262	1.024	0.011	0.31
04D4dm	0.811	24.402	0.981	0.021	0.267
04D3mk	0.813	24.294	0.954	-0.104	0.254
04D3nc	0.817	24.293	1.139	-0.022	0.28
06D2ce	0.82	24.215	1.219	0.018	0.333
04D3lu	0.822	24.377	0.934	-0.084	0.25
05D1cl	0.83	24.353	1.242	-0.018	0.269
04D3cp	0.83	24.111	1.049	-0.18	0.256
04D2al	0.836	24.319	0.933	-0.04	0.372
Elvis	0.839	24.397	0.985	0	0.263
05D4fg	0.839	24.195	1.024	-0.102	0.254
06D2ga	0.84	24.29	1.176	-0.001	0.356
05D1az	0.842	24.254	1.184	0.015	0.269
05D4hn	0.842	24.196	1.122	0.048	0.319
04D1hy	0.85	24.307	1.11	-0.026	0.254
06D4ce	0.85	24.205	1.168	-0.059	0.303
05D3kp	0.85	24.139	1.131	-0.082	0.243
05D4dw	0.855	24.438	1.046	0.008	0.278
04D1ff	0.86	24.243	1.08	0.046	0.257
05D1iz	0.86	24.392	1.095	-0.082	0.336
05D1er	0.86	24.618	1.042	0.062	0.29
03D1bk	0.865	24.345	1.018	-0.167	0.263
05D1em	0.866	24.283	1.017	-0.1	0.26
04D4ii	0.866	24.399	1.165	0.039	0.284
03D1ew	0.868	24.359	1.036	-0.036	0.284
05D2nn	0.87	24.395	0.879	-0.147	0.321
04D4bk	0.88	24.327	1.181	-0.061	0.28
05D3cq	0.89	24.22	0.96	-0.151	0.278
05D2by	0.891	24.568	1.132	-0.008	0.29
03D4di	0.899	24.314	1.146	-0.043	0.29
05D3ht	0.901	24.417	1.118	-0.095	0.282
04D3gx	0.91	24.666	0.94	-0.11	0.293
04D1ow	0.915	24.366	1.004	-0.124	0.268
05D2bw	0.92	24.4	0.972	-0.111	0.319
